utterance_id	label	score
LA_E_9332881	spoof	-6.495611
LA_E_6866159	spoof	-7.201725
LA_E_5464494	spoof	-7.010920
LA_E_4759417	spoof	-7.303661
LA_E_2667748	spoof	-5.952085
LA_E_2042719	spoof	-6.543172
LA_E_5449181	spoof	-7.153435
LA_E_3083390	spoof	-6.982788
LA_E_3346484	spoof	-7.315018
LA_E_4795288	spoof	-5.836542
LA_E_6235054	spoof	-7.005636
LA_E_4046292	spoof	-5.245489
LA_E_5189200	spoof	-4.595889
LA_E_8226402	spoof	-6.944364
LA_E_9628591	spoof	-7.077872
LA_E_5413468	spoof	-6.439723
LA_E_5337755	spoof	-7.902437
LA_E_5251601	spoof	-6.067177
LA_E_4801120	spoof	-6.344968
LA_E_3483063	spoof	-5.746778
LA_E_4409631	spoof	-5.403767
LA_E_1667136	spoof	0.355938
LA_E_9610841	spoof	0.355938
LA_E_6578818	spoof	-8.063160
LA_E_7555162	spoof	0.355938
LA_E_2178012	spoof	-6.374722
LA_E_7717411	spoof	-2.915295
LA_E_6234858	spoof	-3.371691
LA_E_6388924	spoof	-4.640495
LA_E_8928603	spoof	-4.759854
LA_E_4750296	spoof	-3.315481
LA_E_2627736	spoof	-0.902228
LA_E_8368035	spoof	-2.447799
LA_E_8100995	spoof	-2.198049
LA_E_4562098	spoof	-3.568178
LA_E_8105856	spoof	-4.280961
LA_E_3606636	spoof	-2.016298
LA_E_8066575	spoof	-3.226942
LA_E_5654502	spoof	-1.682314
LA_E_7279514	spoof	-0.931708
LA_E_1736545	spoof	-2.707138
LA_E_2558936	spoof	-3.347647
LA_E_5968597	spoof	-2.908251
LA_E_8849491	spoof	-4.795739
LA_E_8670374	spoof	-2.133015
LA_E_4163824	spoof	-5.833408
LA_E_5598491	spoof	-7.148089
LA_E_8388045	spoof	-5.672097
LA_E_6718207	spoof	-5.498930
LA_E_4220617	spoof	-5.593870
LA_E_1694396	spoof	-6.320715
LA_E_2718542	spoof	-5.237968
LA_E_5745095	spoof	-5.274462
LA_E_2979756	spoof	-6.967924
LA_E_8951189	spoof	-5.345823
LA_E_9049339	spoof	-7.350271
LA_E_4831263	spoof	-7.202716
LA_E_9133973	spoof	-5.961390
LA_E_4127223	spoof	-6.304627
LA_E_6054669	spoof	-8.257074
LA_E_3869611	spoof	-6.876876
LA_E_9575493	spoof	-6.928772
LA_E_6875796	spoof	-6.921344
LA_E_5139493	spoof	-6.997828
LA_E_5748300	spoof	-5.666729
LA_E_3681621	spoof	-7.462978
LA_E_7187119	spoof	-5.742949
LA_E_6084562	spoof	-7.513849
LA_E_5979045	spoof	-6.968487
LA_E_7528899	spoof	-6.959124
LA_E_9058621	spoof	-6.839974
LA_E_1767838	spoof	-8.543186
LA_E_8592880	spoof	-7.769099
LA_E_4939133	spoof	-7.328712
LA_E_7569424	spoof	0.355938
LA_E_2546114	spoof	0.355938
LA_E_1452172	spoof	-3.943228
LA_E_3650691	spoof	-2.575807
LA_E_9646020	spoof	-2.139000
LA_E_7274144	spoof	-7.643963
LA_E_4554385	spoof	-1.832555
LA_E_8391890	spoof	-4.078548
LA_E_7917303	spoof	-2.343122
LA_E_5118031	spoof	-1.569669
LA_E_3422518	spoof	-3.299891
